"Gene"	"OncoDriver"
"ABL1"	"OncoDriver: PANCAN"
"ACVR1"	"OncoDriver: UCEC"
"ACVR1B"	"OncoDriver: PANCAN"
"ACVR2A"	"OncoDriver: COADREAD, LIHC, PANCAN"
"AJUBA"	"OncoDriver: PANCAN, HNSC"
"AKT1"	"OncoDriver: CESC, PRAD, PANCAN, THCA, UCEC, BRCA"
"ALB"	"OncoDriver: LIHC"
"ALK"	"OncoDriver: PANCAN"
"AMER1"	"OncoDriver: PANCAN, COADREAD"
"APC"	"OncoDriver: PRAD, PANCAN, STAD, COADREAD"
"APOB"	"OncoDriver: LIHC"
"AR"	"OncoDriver: PANCAN"
"ARAF"	"OncoDriver: PANCAN"
"ARHGAP35"	"OncoDriver: LUSC, PANCAN, UCEC"
"ARID1A"	"OncoDriver: ESCA, LUAD, LUSC, UCS, CHOL, COADREAD, CESC, LGG, PAAD, BLCA, BRCA, LIHC, PANCAN, UCEC, STAD"
"ARID2"	"OncoDriver: HNSC, LGG, STAD, LIHC, PANCAN, SKCM"
"ARID5B"	"OncoDriver: UCEC"
"ASXL1"	"OncoDriver: PANCAN, LAML"
"ASXL2"	"OncoDriver: PANCAN, BLCA"
"ATF7IP"	"OncoDriver: UCEC, PANCAN"
"ATM"	"OncoDriver: UCEC, BLCA, PANCAN, LUAD, KIRC"
"ATR"	"OncoDriver: PANCAN, UCEC"
"ATRX"	"OncoDriver: ACC, GBM, PANCAN, SARC, LGG"
"ATXN3"	"OncoDriver: PANCAN"
"AXIN1"	"OncoDriver: PANCAN, LIHC"
"AXIN2"	"OncoDriver: PANCAN"
"B2M"	"OncoDriver: PANCAN, DLBC"
"BAP1"	"OncoDriver: KIRP, PANCAN, CHOL, LIHC, UVM, MESO, KIRC"
"BCL2"	"OncoDriver: PANCAN"
"BCL2L11"	"OncoDriver: UCS"
"BCOR"	"OncoDriver: UCEC, STAD, PANCAN"
"BRAF"	"OncoDriver: PRAD, GBM, COADREAD, PANCAN, LUAD, SKCM, THCA"
"BRCA1"	"OncoDriver: OV, PANCAN, BRCA"
"BRCA2"	"OncoDriver: PANCAN"
"BRD7"	"OncoDriver: LIHC, PANCAN, SKCM"
"BTG2"	"OncoDriver: DLBC"
"CACNA1A"	"OncoDriver: PANCAN"
"CARD11"	"OncoDriver: DLBC"
"CASP8"	"OncoDriver: CESC, STAD, PANCAN, BRCA, HNSC"
"CBFB"	"OncoDriver: PANCAN, BRCA"
"CBWD3"	"OncoDriver: PANCAN"
"CCND1"	"OncoDriver: PANCAN, UCEC"
"CD70"	"OncoDriver: DLBC"
"CD79B"	"OncoDriver: DLBC"
"CDH1"	"OncoDriver: PANCAN, STAD, BRCA"
"CDK12"	"OncoDriver: OV, PANCAN"
"CDK4"	"OncoDriver: PANCAN, SKCM"
"CDKN1A"	"OncoDriver: LIHC, BLCA, PANCAN"
"CDKN1B"	"OncoDriver: BRCA, PANCAN"
"CDKN2A"	"OncoDriver: LIHC, LUAD, STAD, BLCA, ESCA, PANCAN, LUSC, SKCM, HNSC, PAAD"
"CDKN2C"	"OncoDriver: PANCAN"
"CEBPA"	"OncoDriver: LAML"
"CHD3"	"OncoDriver: PANCAN, UCEC"
"CHD4"	"OncoDriver: BRCA, UCS, UCEC, PANCAN"
"CHD8"	"OncoDriver: PANCAN"
"CHEK2"	"OncoDriver: PANCAN"
"CIC"	"OncoDriver: PANCAN, LGG"
"CNBD1"	"OncoDriver: STAD"
"COL5A1"	"OncoDriver: SKCM"
"CREB3L3"	"OncoDriver: LIHC"
"CREBBP"	"OncoDriver: BLCA, PANCAN"
"CSDE1"	"OncoDriver: PCPG"
"CTCF"	"OncoDriver: BRCA, PANCAN, UCEC"
"CTNNB1"	"OncoDriver: BLCA, COADREAD, SKCM, PRAD, STAD, LUAD, PANCAN, UCEC, ACC, LIHC"
"CTNND1"	"OncoDriver: UCEC, PANCAN"
"CUL1"	"OncoDriver: BLCA, PANCAN"
"CUL3"	"OncoDriver: HNSC, LUSC, PANCAN, KIRP"
"CYLD"	"OncoDriver: HNSC"
"CYSLTR2"	"OncoDriver: UVM"
"DACH1"	"OncoDriver: SKCM"
"DAZAP1"	"OncoDriver: PANCAN"
"DDX3X"	"OncoDriver: SKCM, PANCAN"
"DHX9"	"OncoDriver: LIHC"
"DIAPH2"	"OncoDriver: BLCA"
"DICER1"	"OncoDriver: UCEC"
"DMD"	"OncoDriver: STAD"
"DNMT3A"	"OncoDriver: PANCAN, THCA, LAML"
"EEF1A1"	"OncoDriver: PANCAN, LIHC"
"EEF2"	"OncoDriver: PAAD"
"EGFR"	"OncoDriver: PANCAN, GBM, LUAD, LGG"
"EGR3"	"OncoDriver: PANCAN"
"EIF1AX"	"OncoDriver: PANCAN, THCA, UVM"
"ELF3"	"OncoDriver: PANCAN, BLCA"
"EP300"	"OncoDriver: UCEC, LUSC, PANCAN, BLCA, HNSC, CESC"
"EPAS1"	"OncoDriver: PCPG"
"EPHA2"	"OncoDriver: CHOL, PANCAN, HNSC"
"EPHA3"	"OncoDriver: PANCAN"
"ERBB2"	"OncoDriver: ESCA, STAD, UCEC, CESC, BLCA, PANCAN, BRCA"
"ERBB3"	"OncoDriver: CESC, BLCA, PANCAN, UCEC"
"ERBB4"	"OncoDriver: STAD"
"ERCC2"	"OncoDriver: PANCAN, BLCA"
"ESR1"	"OncoDriver: PANCAN"
"EZH2"	"OncoDriver: LAML"
"FAM46D"	"OncoDriver: STAD"
"FAT1"	"OncoDriver: CESC, UCEC, BLCA, PANCAN, LUSC, HNSC"
"FBXW7"	"OncoDriver: BRCA, ESCA, STAD, LUSC, UCEC, BLCA, COADREAD, PANCAN, CESC, UCS, HNSC"
"FGFR1"	"OncoDriver: PANCAN"
"FGFR2"	"OncoDriver: LUSC, PANCAN, UCEC"
"FGFR3"	"OncoDriver: PANCAN, HNSC, BLCA"
"FLNA"	"OncoDriver: HNSC"
"FLT3"	"OncoDriver: LAML"
"FOXA1"	"OncoDriver: BLCA, PANCAN, PRAD, BRCA"
"FOXA2"	"OncoDriver: UCEC, PANCAN"
"FOXQ1"	"OncoDriver: BLCA"
"FUBP1"	"OncoDriver: PANCAN, LGG"
"GABRA6"	"OncoDriver: GBM"
"GATA3"	"OncoDriver: PANCAN, BRCA"
"GNA11"	"OncoDriver: SKCM, PANCAN, UVM"
"GNA13"	"OncoDriver: BLCA"
"GNAQ"	"OncoDriver: PANCAN, UVM"
"GNAS"	"OncoDriver: COADREAD, LIHC, PAAD"
"GPS2"	"OncoDriver: BRCA, PANCAN"
"GRIN2D"	"OncoDriver: PANCAN"
"GTF2I"	"OncoDriver: PANCAN, THYM"
"H3F3A"	"OncoDriver: PANCAN"
"H3F3C"	"OncoDriver: PANCAN"
"HGF"	"OncoDriver: PANCAN"
"HIST1H1C"	"OncoDriver: PANCAN"
"HIST1H1E"	"OncoDriver: DLBC, LIHC"
"HLA-A"	"OncoDriver: LUSC, HNSC, PANCAN"
"HLA-B"	"OncoDriver: DLBC, HNSC, PANCAN, CESC"
"HRAS"	"OncoDriver: SKCM, LUSC, PRAD, BLCA, HNSC, PANCAN, THYM, THCA, PCPG"
"HUWE1"	"OncoDriver: HNSC"
"IDH1"	"OncoDriver: LIHC, PRAD, LAML, CHOL, GBM, SKCM, PANCAN, LGG"
"IDH2"	"OncoDriver: PANCAN, LAML, LGG"
"IL6ST"	"OncoDriver: LIHC"
"IL7R"	"OncoDriver: PANCAN"
"INPPL1"	"OncoDriver: PANCAN, UCEC"
"IRF2"	"OncoDriver: PANCAN"
"IRF6"	"OncoDriver: PANCAN"
"JAK1"	"OncoDriver: PANCAN"
"JAK2"	"OncoDriver: PANCAN"
"JAK3"	"OncoDriver: PANCAN"
"KANSL1"	"OncoDriver: BLCA, UCEC, PANCAN"
"KDM5C"	"OncoDriver: PANCAN, KIRC"
"KDM6A"	"OncoDriver: HNSC, PAAD, PRAD, LUSC, BLCA, KIRP, PANCAN"
"KEAP1"	"OncoDriver: LIHC, HNSC, PANCAN, LUAD, LUSC"
"KEL"	"OncoDriver: GBM"
"KIF1A"	"OncoDriver: KIRC"
"KIT"	"OncoDriver: LAML, PANCAN, SKCM, TGCT"
"KLF5"	"OncoDriver: PANCAN, BLCA, LUSC, CESC"
"KMT2A"	"OncoDriver: PANCAN"
"KMT2B"	"OncoDriver: PANCAN, UCEC"
"KMT2C"	"OncoDriver: UCEC, BLCA, PANCAN, BRCA, CESC"
"KMT2D"	"OncoDriver: ESCA, BLCA, PRAD, CESC, PANCAN, HNSC, LUSC, DLBC"
"KRAS"	"OncoDriver: SKCM, THCA, BRCA, KIRP, LIHC, OV, STAD, BLCA, CESC, LAML, TGCT, UCEC, UCS, PANCAN, COADREAD, LUAD, PAAD"
"KRT222"	"OncoDriver: PANCAN"
"LATS1"	"OncoDriver: CESC"
"LATS2"	"OncoDriver: MESO"
"LEMD2"	"OncoDriver: PANCAN"
"LZTR1"	"OncoDriver: GBM, LIHC"
"MACF1"	"OncoDriver: PANCAN"
"MAP2K1"	"OncoDriver: PANCAN, SKCM"
"MAP2K4"	"OncoDriver: PANCAN, BRCA"
"MAP3K1"	"OncoDriver: CESC, PANCAN, UCEC, BRCA"
"MAP3K4"	"OncoDriver: UCS"
"MAPK1"	"OncoDriver: PANCAN, HNSC, CESC"
"MAX"	"OncoDriver: UCEC, LGG"
"MECOM"	"OncoDriver: SKCM"
"MED12"	"OncoDriver: PRAD"
"MEN1"	"OncoDriver: ACC"
"MET"	"OncoDriver: LUAD, KIRP"
"MGA"	"OncoDriver: LUAD, PANCAN"
"MGMT"	"OncoDriver: PANCAN"
"MLH1"	"OncoDriver: PANCAN"
"MSH2"	"OncoDriver: PANCAN"
"MSH3"	"OncoDriver: PANCAN"
"MSH6"	"OncoDriver: UCEC"
"MTOR"	"OncoDriver: PANCAN, KIRC"
"MUC6"	"OncoDriver: STAD"
"MYC"	"OncoDriver: PANCAN"
"MYCN"	"OncoDriver: UCEC"
"MYD88"	"OncoDriver: DLBC"
"MYH9"	"OncoDriver: HNSC"
"NCOR1"	"OncoDriver: PANCAN, BRCA"
"NF1"	"OncoDriver: LUSC, BRCA, PANCAN, PCPG, SKCM, LUAD, GBM, OV, LGG"
"NF2"	"OncoDriver: KIRP, PANCAN, MESO"
"NFE2L2"	"OncoDriver: BLCA, PANCAN, UCEC, HNSC, CESC, LIHC, ESCA, LUSC"
"NIPBL"	"OncoDriver: PANCAN, LGG"
"NOTCH1"	"OncoDriver: ESCA, CESC, LUSC, PANCAN, LGG, HNSC"
"NOTCH2"	"OncoDriver: PANCAN"
"NPM1"	"OncoDriver: LAML"
"NRAS"	"OncoDriver: LIHC, BLCA, UCEC, LGG, OV, COADREAD, THYM, TGCT, PANCAN, SKCM, THCA"
"NSD1"	"OncoDriver: ESCA, PANCAN, HNSC"
"NUP133"	"OncoDriver: LIHC"
"NUP93"	"OncoDriver: THCA"
"PAX5"	"OncoDriver: PANCAN"
"PBRM1"	"OncoDriver: UCEC, PANCAN, CHOL, KIRC"
"PCBP1"	"OncoDriver: PANCAN, COADREAD"
"PDGFRA"	"OncoDriver: GBM"
"PDS5B"	"OncoDriver: UCEC"
"PGR"	"OncoDriver: PANCAN"
"PHF6"	"OncoDriver: LAML"
"PIK3CA"	"OncoDriver: KIRC, KIRP, TGCT, GBM, LIHC, PRAD, ESCA, BLCA, LGG, LUAD, UCEC, UCS, COADREAD, PANCAN, STAD, HNSC, LUSC, CESC, BRCA"
"PIK3CB"	"OncoDriver: PANCAN"
"PIK3CG"	"OncoDriver: PANCAN"
"PIK3R1"	"OncoDriver: BRCA, LGG, UCS, PANCAN, UCEC, GBM"
"PIK3R2"	"OncoDriver: PANCAN, UCEC"
"PIM1"	"OncoDriver: DLBC"
"PLCB4"	"OncoDriver: UVM"
"PLCG1"	"OncoDriver: LGG"
"PLXNB2"	"OncoDriver: PANCAN"
"PMS1"	"OncoDriver: PANCAN"
"PMS2"	"OncoDriver: PANCAN"
"POLE"	"OncoDriver: PANCAN"
"POLQ"	"OncoDriver: PANCAN"
"POLRMT"	"OncoDriver: CESC"
"PPM1D"	"OncoDriver: THCA"
"PPP2R1A"	"OncoDriver: PANCAN, UCEC, UCS"
"PPP6C"	"OncoDriver: SKCM"
"PRKAR1A"	"OncoDriver: ACC"
"PSIP1"	"OncoDriver: BLCA, PANCAN"
"PTCH1"	"OncoDriver: PANCAN, ESCA"
